tid	readthrough_novelty	gid	max_tpm	log2_max_tpm
ENSG00000103426[1,1,1]	Known	ENSG00000103426	18.29578584229543	4.193439478666802
ENSG00000130816[30,52,15]	Known	ENSG00000130816	3.4073988258103647	1.7686708204439427
ENSG00000265479[2,2,1]	Known	ENSG00000265479	2.0652793496848383	1.0463369337743873
ENSG00000272414[1,2,2]	Known	ENSG00000272414	2.0446594517450145	1.0318605751028571
ENSG00000272414[1,4,3]	Known	ENSG00000272414	1.988755575973446	0.9918659755182144
ENSG00000259030[1,2,2]	Known	ENSG00000259030	1.7518688060488525	0.8088947384381324
ENSG00000259030[1,3,3]	Known	ENSG00000259030	3.0993816733561657	1.6319804265448494
ENSG00000259030[1,4,4]	Known	ENSG00000259030	1.177585831287278	0.2358322181052595
ENSG00000281887[1,1,1]	Known	ENSG00000281887	1.4546978010788039	0.5407194787918611
ENSG00000228315[2,2,2]	Known	ENSG00000228315	1.1704736321552516	0.22709243450346192
ENSG00000228315[6,6,2]	Known	ENSG00000228315	2.158531162714396	1.1100499211380221
ENSG00000228315[6,7,2]	Known	ENSG00000228315	1.6916037249114022	0.75839164229733
ENSG00000234857[1,1,1]	Known	ENSG00000234857	4.3712789487948385	2.1280554452025364
ENSG00000198353[2,2,2]	Known	ENSG00000198353	1.1366736382649814	0.1848180870850113
ENSG00000273046[1,1,1]	Known	ENSG00000273046	2.158531162714396	1.1100499211380221
ENSG00000270757[1,1,1]	Known	ENSG00000270757	1.7093403484661234	0.7734396820680951
ENSG00000254709[1,2,1]	Known	ENSG00000254709	2.410739361708539	1.2694756816759414
ENSG00000254709[1,3,2]	Known	ENSG00000254709	127.31575591322843	6.992267160241721
ENSG00000254959[1,2,2]	Known	ENSG00000254959	2.0446594517450145	1.0318605751028571
ENSG00000261796[1,1,1]	Known	ENSG00000261796	2.340947264310503	1.227092434503462
ENSG00000168970[1,1,1]	Known	ENSG00000168970	7.00747522419541	2.8088947384381324
ENSG00000203896[2,7,1]	Known	ENSG00000203896	2.022686451237075	1.0162726964138986
ENSG00000283352[1,1,1]	Known	ENSG00000283352	3.148109088276127	1.6544855339801423
ENSG00000283352[1,2,1]	Known	ENSG00000283352	1.0443318886742208	0.06258027326105119
ENSG00000271167[1,1,1]	Known	ENSG00000271167	12.798143415995119	3.6778626333308524
ENSG00000248672[1,1,1]	Known	ENSG00000248672	1.1059928221065845	0.1453420225121876
ENSG00000248672[1,2,1]	Known	ENSG00000248672	1.2220875210199054	0.28934760890455175
ENSG00000280987[1,4,4]	Known	ENSG00000280987	5.877961757980803	2.5553159728458423
ENSG00000280987[2,5,3]	Known	ENSG00000280987	1.177585831287278	0.2358322181052595
ENSG00000251349[1,1,1]	Known	ENSG00000251349	5.9206130371899075	2.565746564354934
ENSG00000242086[1,1,2]	Known	ENSG00000242086	131.58581797295182	7.0398601967609675
ENSG00000242086[1,2,4]	Known	ENSG00000242086	2.184049883699344	1.1270058077888072
ENSG00000242086[1,27,16]	Known	ENSG00000242086	1.0787602886762533	0.10937431917379985
ENSG00000242086[1,28,5]	Known	ENSG00000242086	17.088742327154694	4.094974318399743
ENSG00000242086[1,4,3]	Known	ENSG00000242086	6.993558297030408	2.8060266803926477
ENSG00000242086[10,50,6]	Known	ENSG00000242086	2.0465340921881747	1.0331827001165166
ENSG00000242086[17,118,11]	Known	ENSG00000242086	1.6726911425985926	0.7421710806560171
ENSG00000242086[19,29,17]	Known	ENSG00000242086	1.5731292739955962	0.6536372310136684
ENSG00000242086[2,30,18]	Known	ENSG00000242086	1.232952885171399	0.3021176710884634
