ENCODE_experiment_id	dataset	sample	sample_display	general_tissue_cell_type	fig1_tissue_label	age	adult	sex	genotype	tissue_or_cell_line	sample_color_hex_code	matching_human_samples	reads_post_talon	ENCODE_alignments_id	ENCODE_reads_id	ENCODE_unfiltered_alignments_id
ENCSR734WEK	gastroc_10d_m_2	gastroc_10d	Gastrocnemius PND10	muscle	muscle	10d	True	m	b6/cast	tissue	#c5cbde	['muscle']	957529	ENCFF690TKD	ENCFF389RMT	ENCFF567ALB
ENCSR524XLA	gastroc_4d_f_2	gastroc_4d	Gastrocnemius PND4	muscle	muscle	4d	True	f	b6/cast	tissue	#e2e5ef	['muscle']	810498	ENCFF757HQI	ENCFF462TIY	ENCFF449IWN
ENCSR524XLA	gastroc_4d_f_1	gastroc_4d	Gastrocnemius PND4	muscle	muscle	4d	True	f	b6/cast	tissue	#e2e5ef	['muscle']	1206189	ENCFF107OBP	ENCFF477GNS	ENCFF142YJX
ENCSR938RPH	heart_2mo_f_1	heart_2mo	Heart PNM2	heart	heart	2mo	True	f	b6/cast	tissue	#8fba73	['heart']	905154	ENCFF246TCD	ENCFF836SSV	ENCFF427ZRR
ENCSR938RPH	heart_2mo_f_2	heart_2mo	Heart PNM2	heart	heart	2mo	True	f	b6/cast	tissue	#8fba73	['heart']	745375	ENCFF348KGR	ENCFF031EVU	ENCFF992KKH
ENCSR116DUT	gastroc_18-20mo_m_1	gastroc_18-20mo	Gastrocnemius PNM18-20	muscle	muscle	18-20mo	True	m	b6/cast	tissue	#334a8d	['muscle']	1509380	ENCFF584LYA	ENCFF865ZOH	ENCFF353JKI
ENCSR116DUT	gastroc_18-20mo_m_2	gastroc_18-20mo	Gastrocnemius PNM18-20	muscle	muscle	18-20mo	True	m	b6/cast	tissue	#334a8d	['muscle']	1173233	ENCFF715RFV	ENCFF421HRA	ENCFF057DYQ
ENCSR472CHU	hippocampus_18-20mo_f_2	hippocampus_18-20mo	Hippocampus PNM18-20	hippocampus	hippocampus	18-20mo	True	f	b6/cast	tissue	#c04b63	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	884194	ENCFF201NMX	ENCFF346JYL	ENCFF241SUN
ENCSR472CHU	hippocampus_18-20mo_f_1	hippocampus_18-20mo	Hippocampus PNM18-20	hippocampus	hippocampus	18-20mo	True	f	b6/cast	tissue	#c04b63	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	1145830	ENCFF973YHW	ENCFF896RNF	ENCFF309ZQW
ENCSR862DMK	cortex_2mo_m_1	cortex_2mo	Cortex PNM2	cortex	cortex	2mo	True	m	b6/cast	tissue	#8f6ba0	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	1049632	ENCFF277JRJ	ENCFF285NUG	ENCFF439LFE
ENCSR862DMK	cortex_2mo_m_2	cortex_2mo	Cortex PNM2	cortex	cortex	2mo	True	m	b6/cast	tissue	#8f6ba0	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	479480	ENCFF792XAE	ENCFF977AFJ	ENCFF594DAT
ENCSR402DOZ	gastroc_14d_m_2	gastroc_14d	Gastrocnemius PND14	muscle	muscle	14d	True	m	b6/cast	tissue	#a8b1ce	['muscle']	642362	ENCFF137SHD	ENCFF369DHX	ENCFF792HGO
ENCSR402DOZ	gastroc_14d_m_1	gastroc_14d	Gastrocnemius PND14	muscle	muscle	14d	True	m	b6/cast	tissue	#a8b1ce	['muscle']	1141661	ENCFF544KTY	ENCFF948TOU	ENCFF213OCJ
ENCSR631KNS	cortex_14d_f_1	cortex_14d	Cortex PND14	cortex	cortex	14d	True	f	b6/cast	tissue	#c7b5cf	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	1087280	ENCFF647URO	ENCFF773BXP	ENCFF950QSG
ENCSR631KNS	cortex_14d_f_2	cortex_14d	Cortex PND14	cortex	cortex	14d	True	f	b6/cast	tissue	#c7b5cf	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	762376	ENCFF563NJO	ENCFF468KWN	ENCFF633UIS
ENCSR375EOW	heart_2mo_m_2	heart_2mo	Heart PNM2	heart	heart	2mo	True	m	b6/cast	tissue	#8fba73	['heart']	661958	ENCFF769MAL	ENCFF358AEP	ENCFF487CUQ
ENCSR375EOW	heart_2mo_m_1	heart_2mo	Heart PNM2	heart	heart	2mo	True	m	b6/cast	tissue	#8fba73	['heart']	454069	ENCFF150RFK	ENCFF583MVR	ENCFF505GEW
